time,temperature,humidity
2025-09-16 00:00:00,17.0,86
2025-09-16 01:00:00,16.6,87
2025-09-16 02:00:00,16.3,88
2025-09-16 03:00:00,16.1,89
2025-09-16 04:00:00,15.9,90
2025-09-16 05:00:00,15.7,91
2025-09-16 06:00:00,16.1,90
2025-09-16 07:00:00,15.8,91
2025-09-16 08:00:00,15.7,93
2025-09-16 09:00:00,15.5,94
2025-09-16 10:00:00,15.8,92
2025-09-16 11:00:00,16.8,86
2025-09-16 12:00:00,18.5,79
2025-09-16 13:00:00,20.7,71
2025-09-16 14:00:00,23.4,60
2025-09-16 15:00:00,26.5,46
2025-09-16 16:00:00,27.9,41
2025-09-16 17:00:00,27.1,45
2025-09-16 18:00:00,25.6,51
2025-09-16 19:00:00,24.3,59
2025-09-16 20:00:00,23.4,65
2025-09-16 21:00:00,22.1,73
2025-09-16 22:00:00,20.8,80
2025-09-16 23:00:00,19.8,83
2025-09-17 00:00:00,19.1,85
2025-09-17 01:00:00,18.4,87
2025-09-17 02:00:00,18.0,87
2025-09-17 03:00:00,17.5,87
2025-09-17 04:00:00,17.0,86
2025-09-17 05:00:00,16.4,85
2025-09-17 06:00:00,15.8,85
2025-09-17 07:00:00,15.3,86
2025-09-17 08:00:00,15.0,87
2025-09-17 09:00:00,15.0,88
2025-09-17 10:00:00,15.4,87
2025-09-17 11:00:00,16.8,80
2025-09-17 12:00:00,18.4,71
2025-09-17 13:00:00,20.5,60
2025-09-17 14:00:00,22.3,54
2025-09-17 15:00:00,23.6,50
2025-09-17 16:00:00,24.4,49
2025-09-17 17:00:00,24.6,49
2025-09-17 18:00:00,23.8,54
2025-09-17 19:00:00,21.9,62
2025-09-17 20:00:00,19.9,67
2025-09-17 21:00:00,18.2,71
2025-09-17 22:00:00,17.0,77
2025-09-17 23:00:00,16.3,81
2025-09-18 00:00:00,15.7,84
2025-09-18 01:00:00,15.2,87
2025-09-18 02:00:00,15.0,87
2025-09-18 03:00:00,14.7,87
2025-09-18 04:00:00,14.4,87
2025-09-18 05:00:00,14.1,87
2025-09-18 06:00:00,13.9,87
2025-09-18 07:00:00,13.6,88
2025-09-18 08:00:00,13.4,90
2025-09-18 09:00:00,13.3,90
2025-09-18 10:00:00,13.6,87
2025-09-18 11:00:00,15.0,80
2025-09-18 12:00:00,17.3,71
2025-09-18 13:00:00,19.6,62
2025-09-18 14:00:00,21.8,56
2025-09-18 15:00:00,23.9,50
2025-09-18 16:00:00,25.5,46
2025-09-18 17:00:00,26.5,44
2025-09-18 18:00:00,26.7,44
2025-09-18 19:00:00,25.9,50
2025-09-18 20:00:00,23.5,60
2025-09-18 21:00:00,21.4,68
2025-09-18 22:00:00,19.9,74
2025-09-18 23:00:00,18.8,79
2025-09-19 00:00:00,17.9,83
2025-09-19 01:00:00,17.2,85
2025-09-19 02:00:00,16.7,87
2025-09-19 03:00:00,16.3,89
2025-09-19 04:00:00,16.2,89
2025-09-19 05:00:00,16.0,91
2025-09-19 06:00:00,15.7,92
2025-09-19 07:00:00,15.6,93
2025-09-19 08:00:00,15.6,93
2025-09-19 09:00:00,15.3,94
2025-09-19 10:00:00,15.8,92
2025-09-19 11:00:00,19.2,76
2025-09-19 12:00:00,23.6,56
2025-09-19 13:00:00,26.2,47
2025-09-19 14:00:00,28.6,40
2025-09-19 15:00:00,30.4,35
2025-09-19 16:00:00,31.4,31
2025-09-19 17:00:00,31.8,29
2025-09-19 18:00:00,31.7,29
2025-09-19 19:00:00,31.2,30
2025-09-19 20:00:00,30.1,32
2025-09-19 21:00:00,28.8,37
2025-09-19 22:00:00,26.9,47
2025-09-19 23:00:00,24.7,61
2025-09-20 00:00:00,22.9,71
2025-09-20 01:00:00,21.7,76
2025-09-20 02:00:00,21.0,78
2025-09-20 03:00:00,20.3,80
2025-09-20 04:00:00,19.8,82
2025-09-20 05:00:00,19.4,84
2025-09-20 06:00:00,19.0,85
2025-09-20 07:00:00,18.2,88
2025-09-20 08:00:00,17.5,91
2025-09-20 09:00:00,17.7,88
2025-09-20 10:00:00,19.9,76
2025-09-20 11:00:00,23.1,58
2025-09-20 12:00:00,26.0,44
2025-09-20 13:00:00,28.1,37
2025-09-20 14:00:00,30.0,33
2025-09-20 15:00:00,31.4,30
2025-09-20 16:00:00,32.4,28
2025-09-20 17:00:00,32.9,26
2025-09-20 18:00:00,32.9,26
2025-09-20 19:00:00,32.3,27
2025-09-20 20:00:00,31.2,29
2025-09-20 21:00:00,29.9,33
2025-09-20 22:00:00,28.2,39
2025-09-20 23:00:00,26.4,47
2025-09-21 00:00:00,24.8,54
2025-09-21 01:00:00,23.8,61
2025-09-21 02:00:00,23.0,67
2025-09-21 03:00:00,22.5,69
2025-09-21 04:00:00,22.4,64
2025-09-21 05:00:00,22.7,56
2025-09-21 06:00:00,22.8,50
2025-09-21 07:00:00,21.2,58
2025-09-21 08:00:00,21.9,53
2025-09-21 09:00:00,22.8,48
2025-09-21 10:00:00,24.0,44
2025-09-21 11:00:00,25.4,40
2025-09-21 12:00:00,26.9,36
2025-09-21 13:00:00,28.7,32
2025-09-21 14:00:00,30.6,29
2025-09-21 15:00:00,32.1,26
2025-09-21 16:00:00,32.9,24
2025-09-21 17:00:00,33.3,22
2025-09-21 18:00:00,32.9,24
2025-09-21 19:00:00,31.1,30
2025-09-21 20:00:00,28.6,40
2025-09-21 21:00:00,26.3,49
2025-09-21 22:00:00,24.5,57
2025-09-21 23:00:00,23.0,65
2025-09-22 00:00:00,22.1,70
2025-09-22 01:00:00,21.9,70
2025-09-22 02:00:00,22.3,67
2025-09-22 03:00:00,22.5,65
2025-09-22 04:00:00,22.3,66
2025-09-22 05:00:00,21.9,69
2025-09-22 06:00:00,21.5,72
2025-09-22 07:00:00,21.1,76
2025-09-22 08:00:00,20.6,80
2025-09-22 09:00:00,20.2,83
2025-09-22 10:00:00,19.9,85
2025-09-22 11:00:00,19.7,87
2025-09-22 12:00:00,19.6,88
2025-09-22 13:00:00,19.7,87
2025-09-22 14:00:00,19.8,84
2025-09-22 15:00:00,19.9,83
2025-09-22 16:00:00,19.9,84
2025-09-22 17:00:00,19.9,85
2025-09-22 18:00:00,19.8,87
2025-09-22 19:00:00,19.8,89
2025-09-22 20:00:00,19.8,90
2025-09-22 21:00:00,19.5,92
2025-09-22 22:00:00,18.6,94
2025-09-22 23:00:00,17.3,96
